Reservoir,SpectralRadius,InputScaling,Accuracy,F1
10,0.1,0.01,0.9531,0.9482
10,0.1,0.1,0.9531,0.9482
10,0.1,0.5,0.9531,0.9482
10,0.1,0.58,0.9531,0.9482
10,0.1,1,0.9531,0.9482
10,0.29,0.01,0.9531,0.9482
10,0.29,0.1,0.9531,0.9482
10,0.29,0.5,0.9531,0.9482
10,0.29,0.58,0.9531,0.9482
10,0.29,1,0.9531,0.9482
10,0.7,0.01,0.9531,0.9482
10,0.7,0.1,0.9531,0.9482
10,0.7,0.5,0.9531,0.9482
10,0.7,0.58,0.9531,0.9482
10,0.7,1,0.9531,0.9482
10,0.8,0.01,0.9523,0.9471
10,0.8,0.1,0.9523,0.9471
10,0.8,0.5,0.9523,0.9471
10,0.8,0.58,0.9523,0.9471
10,0.8,1,0.9523,0.9471
20,0.1,0.01,0.9538,0.9487
20,0.1,0.1,0.9538,0.9487
20,0.1,0.5,0.9538,0.9487
20,0.1,0.58,0.9538,0.9487
20,0.1,1,0.9538,0.9487
20,0.29,0.01,0.9538,0.9487
20,0.29,0.1,0.9538,0.9487
20,0.29,0.5,0.9538,0.9487
20,0.29,0.58,0.9538,0.9487
20,0.29,1,0.9538,0.9487
20,0.7,0.01,0.9538,0.9487
20,0.7,0.1,0.9538,0.9487
20,0.7,0.5,0.9538,0.9487
20,0.7,0.58,0.9538,0.9487
20,0.7,1,0.9538,0.9487
20,0.8,0.01,0.953,0.9478
20,0.8,0.1,0.953,0.9478
20,0.8,0.5,0.953,0.9478
20,0.8,0.58,0.953,0.9478
20,0.8,1,0.953,0.9478
30,0.1,0.01,0.9539,0.9489
30,0.1,0.1,0.9539,0.9489
30,0.1,0.5,0.9539,0.9489
30,0.1,0.58,0.9539,0.9489
30,0.1,1,0.9539,0.9489
30,0.29,0.01,0.9539,0.9489
30,0.29,0.1,0.9539,0.9489
30,0.29,0.5,0.9539,0.9489
30,0.29,0.58,0.9539,0.9489
30,0.29,1,0.9539,0.9489
30,0.7,0.01,0.9539,0.9489
30,0.7,0.1,0.9539,0.9489
30,0.7,0.5,0.9539,0.9489
30,0.7,0.58,0.9539,0.9489
30,0.7,1,0.9539,0.9489
30,0.8,0.01,0.9532,0.948
30,0.8,0.1,0.9532,0.948
30,0.8,0.5,0.9532,0.948
30,0.8,0.58,0.9532,0.948
30,0.8,1,0.9532,0.948
40,0.1,0.01,0.954,0.9491
40,0.1,0.1,0.954,0.9491
40,0.1,0.5,0.954,0.9491
40,0.1,0.58,0.954,0.9491
40,0.1,1,0.954,0.9491
40,0.29,0.01,0.954,0.9491
40,0.29,0.1,0.954,0.9491
40,0.29,0.5,0.954,0.9491
40,0.29,0.58,0.954,0.9491
40,0.29,1,0.954,0.9491
40,0.7,0.01,0.954,0.9491
40,0.7,0.1,0.954,0.9491
40,0.7,0.5,0.954,0.9491
40,0.7,0.58,0.954,0.9491
40,0.7,1,0.954,0.9491
40,0.8,0.01,0.9533,0.9482
40,0.8,0.1,0.9533,0.9482
40,0.8,0.5,0.9533,0.9482
40,0.8,0.58,0.9533,0.9482
40,0.8,1,0.9533,0.9482
50,0.1,0.01,0.9541,0.9493
50,0.1,0.1,0.9541,0.9493
50,0.1,0.5,0.9541,0.9493
50,0.1,0.58,0.9541,0.9493
50,0.1,1,0.9541,0.9493
50,0.29,0.01,0.9541,0.9493
50,0.29,0.1,0.9541,0.9493
50,0.29,0.5,0.9541,0.9493
50,0.29,0.58,0.9541,0.9493
50,0.29,1,0.9541,0.9493
50,0.7,0.01,0.9541,0.9493
50,0.7,0.1,0.9541,0.9493
50,0.7,0.5,0.9541,0.9493
50,0.7,0.58,0.9541,0.9493
50,0.7,1,0.9541,0.9493
50,0.8,0.01,0.9534,0.9484
50,0.8,0.1,0.9534,0.9484
50,0.8,0.5,0.9534,0.9484
50,0.8,0.58,0.9534,0.9484
50,0.8,1,0.9534,0.9484
60,0.1,0.01,0.9541,0.9493
60,0.1,0.1,0.9541,0.9493
60,0.1,0.5,0.9541,0.9493
60,0.1,0.58,0.9541,0.9493
60,0.1,1,0.9541,0.9493
60,0.29,0.01,0.9541,0.9493
60,0.29,0.1,0.9541,0.9493
60,0.29,0.5,0.9541,0.9493
60,0.29,0.58,0.9541,0.9493
60,0.29,1,0.9541,0.9493
60,0.7,0.01,0.9541,0.9493
60,0.7,0.1,0.9541,0.9493
60,0.7,0.5,0.9541,0.9493
60,0.7,0.58,0.9541,0.9493
60,0.7,1,0.9541,0.9493
60,0.8,0.01,0.9534,0.9484
60,0.8,0.1,0.9534,0.9484
60,0.8,0.5,0.9534,0.9484
60,0.8,0.58,0.9534,0.9484
60,0.8,1,0.9534,0.9484
70,0.1,0.01,0.9542,0.9496
70,0.1,0.1,0.9542,0.9496
70,0.1,0.5,0.9542,0.9496
70,0.1,0.58,0.9542,0.9496
70,0.1,1,0.9542,0.9496
70,0.29,0.01,0.9542,0.9496
70,0.29,0.1,0.9542,0.9496
70,0.29,0.5,0.9542,0.9496
70,0.29,0.58,0.9542,0.9496
70,0.29,1,0.9542,0.9496
70,0.7,0.01,0.9542,0.9496
70,0.7,0.1,0.9542,0.9496
70,0.7,0.5,0.9542,0.9496
70,0.7,0.58,0.9542,0.9496
70,0.7,1,0.9542,0.9496
70,0.8,0.01,0.9535,0.9486
70,0.8,0.1,0.9535,0.9486
70,0.8,0.5,0.9535,0.9486
70,0.8,0.58,0.9535,0.9486
70,0.8,1,0.9535,0.9486
80,0.1,0.01,0.9542,0.9496
80,0.1,0.1,0.9542,0.9496
80,0.1,0.5,0.9542,0.9496
80,0.1,0.58,0.9542,0.9496
80,0.1,1,0.9542,0.9496
80,0.29,0.01,0.9542,0.9496
80,0.29,0.1,0.9542,0.9496
80,0.29,0.5,0.9542,0.9496
80,0.29,0.58,0.9542,0.9496
80,0.29,1,0.9542,0.9496
80,0.7,0.01,0.9542,0.9496
80,0.7,0.1,0.9542,0.9496
80,0.7,0.5,0.9542,0.9496
80,0.7,0.58,0.9542,0.9496
80,0.7,1,0.9542,0.9496
80,0.8,0.01,0.9535,0.9486
80,0.8,0.1,0.9535,0.9486
80,0.8,0.5,0.9535,0.9486
80,0.8,0.58,0.9535,0.9486
80,0.8,1,0.9535,0.9486
90,0.1,0.01,0.9542,0.9496
90,0.1,0.1,0.9542,0.9496
90,0.1,0.5,0.9542,0.9496
90,0.1,0.58,0.9542,0.9496
90,0.1,1,0.9542,0.9496
90,0.29,0.01,0.9542,0.9496
90,0.29,0.1,0.9542,0.9496
90,0.29,0.5,0.9542,0.9496
90,0.29,0.58,0.9542,0.9496
90,0.29,1,0.9542,0.9496
90,0.7,0.01,0.9542,0.9496
90,0.7,0.1,0.9542,0.9496
90,0.7,0.5,0.9542,0.9496
90,0.7,0.58,0.9542,0.9496
90,0.7,1,0.9542,0.9496
90,0.8,0.01,0.9535,0.9486
90,0.8,0.1,0.9535,0.9486
90,0.8,0.5,0.9535,0.9486
90,0.8,0.58,0.9535,0.9486
90,0.8,1,0.9535,0.9486
100,0.1,0.01,0.9542,0.9496
100,0.1,0.1,0.9542,0.9496
100,0.1,0.5,0.9542,0.9496
100,0.1,0.58,0.9542,0.9496
100,0.1,1,0.9542,0.9496
100,0.29,0.01,0.9542,0.9496
100,0.29,0.1,0.9542,0.9496
100,0.29,0.5,0.9542,0.9496
100,0.29,0.58,0.9542,0.9496
100,0.29,1,0.9542,0.9496
100,0.7,0.01,0.9542,0.9496
100,0.7,0.1,0.9542,0.9496
100,0.7,0.5,0.9542,0.9496
100,0.7,0.58,0.9542,0.9496
100,0.7,1,0.9542,0.9496
100,0.8,0.01,0.9535,0.9486
100,0.8,0.1,0.9535,0.9486
100,0.8,0.5,0.9535,0.9486
100,0.8,0.58,0.9535,0.9486
100,0.8,1,0.9535,0.9486
200,0.1,0.01,0.9542,0.9496
200,0.1,0.1,0.9542,0.9496
200,0.1,0.5,0.9542,0.9496
200,0.1,0.58,0.9542,0.9496
200,0.1,1,0.9542,0.9496
200,0.29,0.01,0.9542,0.9496
200,0.29,0.1,0.9542,0.9496
200,0.29,0.5,0.9542,0.9496
200,0.29,0.58,0.9542,0.9496
200,0.29,1,0.9542,0.9496
200,0.7,0.01,0.9542,0.9496
200,0.7,0.1,0.9542,0.9496
200,0.7,0.5,0.9542,0.9496
200,0.7,0.58,0.9542,0.9496
200,0.7,1,0.9542,0.9496
200,0.8,0.01,0.9534,0.9484
200,0.8,0.1,0.9534,0.9484
200,0.8,0.5,0.9534,0.9484
200,0.8,0.58,0.9534,0.9484
200,0.8,1,0.9534,0.9484
300,0.1,0.01,0.9542,0.9496
300,0.1,0.1,0.9542,0.9496
300,0.1,0.5,0.9542,0.9496
300,0.1,0.58,0.9542,0.9496
300,0.1,1,0.9542,0.9496
300,0.29,0.01,0.9542,0.9496
300,0.29,0.1,0.9542,0.9496
300,0.29,0.5,0.9542,0.9496
300,0.29,0.58,0.9542,0.9496
300,0.29,1,0.9542,0.9496
300,0.7,0.01,0.9542,0.9496
300,0.7,0.1,0.9542,0.9496
300,0.7,0.5,0.9542,0.9496
300,0.7,0.58,0.9542,0.9496
300,0.7,1,0.9542,0.9496
300,0.8,0.01,0.9534,0.9484
300,0.8,0.1,0.9534,0.9484
300,0.8,0.5,0.9534,0.9484
300,0.8,0.58,0.9534,0.9484
300,0.8,1,0.9534,0.9484
400,0.1,0.01,0.9542,0.9496
400,0.1,0.1,0.9542,0.9496
400,0.1,0.5,0.9542,0.9496
400,0.1,0.58,0.9542,0.9496
400,0.1,1,0.9542,0.9496
400,0.29,0.01,0.9542,0.9496
400,0.29,0.1,0.9542,0.9496
400,0.29,0.5,0.9542,0.9496
400,0.29,0.58,0.9542,0.9496
400,0.29,1,0.9542,0.9496
400,0.7,0.01,0.9542,0.9496
400,0.7,0.1,0.9542,0.9496
400,0.7,0.5,0.9542,0.9496
400,0.7,0.58,0.9542,0.9496
400,0.7,1,0.9542,0.9496
400,0.8,0.01,0.9534,0.9484
400,0.8,0.1,0.9534,0.9484
400,0.8,0.5,0.9534,0.9484
400,0.8,0.58,0.9534,0.9484
400,0.8,1,0.9534,0.9484
500,0.1,0.01,0.9542,0.9496
500,0.1,0.1,0.9542,0.9496
500,0.1,0.5,0.9542,0.9496
500,0.1,0.58,0.9542,0.9496
500,0.1,1,0.9542,0.9496
500,0.29,0.01,0.9542,0.9496
500,0.29,0.1,0.9542,0.9496
500,0.29,0.5,0.9542,0.9496
500,0.29,0.58,0.9542,0.9496
500,0.29,1,0.9542,0.9496
500,0.7,0.01,0.9542,0.9496
500,0.7,0.1,0.9542,0.9496
500,0.7,0.5,0.9542,0.9496
500,0.7,0.58,0.9542,0.9496
500,0.7,1,0.9542,0.9496
500,0.8,0.01,0.9534,0.9484
500,0.8,0.1,0.9534,0.9484
500,0.8,0.5,0.9534,0.9484
500,0.8,0.58,0.9534,0.9484
500,0.8,1,0.9534,0.9484
400,0.1,0.01,0.9542,0.9496
400,0.1,0.1,0.9542,0.9496
400,0.1,0.5,0.9542,0.9496
400,0.1,0.58,0.9542,0.9496
400,0.1,1,0.9542,0.9496
400,0.29,0.01,0.9542,0.9496
400,0.29,0.1,0.9542,0.9496
400,0.29,0.5,0.9542,0.9496
400,0.29,0.58,0.9542,0.9496
400,0.29,1,0.9542,0.9496
400,0.7,0.01,0.9542,0.9496
400,0.7,0.1,0.9542,0.9496
400,0.7,0.5,0.9542,0.9496
400,0.7,0.58,0.9542,0.9496
400,0.7,1,0.9542,0.9496
400,0.8,0.01,0.9534,0.9484
400,0.8,0.1,0.9534,0.9484
400,0.8,0.5,0.9534,0.9484
400,0.8,0.58,0.9534,0.9484
400,0.8,1,0.9534,0.9484
500,0.1,0.01,0.9542,0.9496
500,0.1,0.1,0.9542,0.9496
500,0.1,0.5,0.9542,0.9496
500,0.1,0.58,0.9542,0.9496
500,0.1,1,0.9542,0.9496
500,0.29,0.01,0.9542,0.9496
500,0.29,0.1,0.9542,0.9496
500,0.29,0.5,0.9542,0.9496
500,0.29,0.58,0.9542,0.9496
500,0.29,1,0.9542,0.9496
500,0.7,0.01,0.9542,0.9496
500,0.7,0.1,0.9542,0.9496
500,0.7,0.5,0.9542,0.9496
500,0.7,0.58,0.9542,0.9496
500,0.7,1,0.9542,0.9496
500,0.8,0.01,0.9534,0.9484
500,0.8,0.1,0.9534,0.9484
500,0.8,0.5,0.9534,0.9484
500,0.8,0.58,0.9534,0.9484
500,0.8,1,0.9534,0.9484
600,0.1,0.01,0.9542,0.9496
600,0.1,0.1,0.9542,0.9496
600,0.1,0.5,0.9542,0.9496
600,0.1,0.58,0.9542,0.9496
600,0.1,1,0.9542,0.9496
600,0.29,0.01,0.9542,0.9496
600,0.29,0.1,0.9542,0.9496
600,0.29,0.5,0.9542,0.9496
600,0.29,0.58,0.9542,0.9496
600,0.29,1,0.9542,0.9496
600,0.7,0.01,0.9542,0.9496
600,0.7,0.1,0.9542,0.9496
600,0.7,0.5,0.9542,0.9496
600,0.7,0.58,0.9542,0.9496
600,0.7,1,0.9542,0.9496
600,0.8,0.01,0.9534,0.9484
600,0.8,0.1,0.9534,0.9484
600,0.8,0.5,0.9534,0.9484
600,0.8,0.58,0.9534,0.9484
600,0.8,1,0.9534,0.9484
700,0.1,0.01,0.9542,0.9496
700,0.1,0.1,0.9542,0.9496
700,0.1,0.5,0.9542,0.9496
700,0.1,0.58,0.9542,0.9496
700,0.1,1,0.9542,0.9496
700,0.29,0.01,0.9542,0.9496
700,0.29,0.1,0.9542,0.9496
700,0.29,0.5,0.9542,0.9496
700,0.29,0.58,0.9542,0.9496
700,0.29,1,0.9542,0.9496
700,0.7,0.01,0.9542,0.9496
700,0.7,0.1,0.9542,0.9496
700,0.7,0.5,0.9542,0.9496
700,0.7,0.58,0.9542,0.9496
700,0.7,1,0.9542,0.9496
700,0.8,0.01,0.9534,0.9484
700,0.8,0.1,0.9534,0.9484
700,0.8,0.5,0.9534,0.9484
700,0.8,0.58,0.9534,0.9484
700,0.8,1,0.9534,0.9484
800,0.1,0.01,0.9542,0.9496
800,0.1,0.1,0.9542,0.9496
800,0.1,0.5,0.9542,0.9496
800,0.1,0.58,0.9542,0.9496
800,0.1,1,0.9542,0.9496
800,0.29,0.01,0.9542,0.9496
800,0.29,0.1,0.9542,0.9496
800,0.29,0.5,0.9542,0.9496
800,0.29,0.58,0.9542,0.9496
800,0.29,1,0.9542,0.9496
800,0.7,0.01,0.9542,0.9496
800,0.7,0.1,0.9542,0.9496
800,0.7,0.5,0.9542,0.9496
800,0.7,0.58,0.9542,0.9496
800,0.7,1,0.9542,0.9496
800,0.8,0.01,0.9534,0.9484
800,0.8,0.1,0.9534,0.9484
800,0.8,0.5,0.9534,0.9484
800,0.8,0.58,0.9534,0.9484
800,0.8,1,0.9534,0.9484
900,0.1,0.01,0.9542,0.9496
900,0.1,0.1,0.9542,0.9496
900,0.1,0.5,0.9542,0.9496
900,0.1,0.58,0.9542,0.9496
900,0.1,1,0.9542,0.9496
900,0.29,0.01,0.9542,0.9496
900,0.29,0.1,0.9542,0.9496
900,0.29,0.5,0.9542,0.9496
900,0.29,0.58,0.9542,0.9496
900,0.29,1,0.9542,0.9496
900,0.7,0.01,0.9542,0.9496
900,0.7,0.1,0.9542,0.9496
900,0.7,0.5,0.9542,0.9496
900,0.7,0.58,0.9542,0.9496
900,0.7,1,0.9542,0.9496
900,0.8,0.01,0.9534,0.9484
900,0.8,0.1,0.9534,0.9484
900,0.8,0.5,0.9534,0.9484
900,0.8,0.58,0.9534,0.9484
900,0.8,1,0.9534,0.9484
1000,0.1,0.01,0.9542,0.9496
1000,0.1,0.1,0.9542,0.9496
1000,0.1,0.5,0.9542,0.9496
1000,0.1,0.58,0.9542,0.9496
1000,0.1,1,0.9542,0.9496
1000,0.29,0.01,0.9542,0.9496
1000,0.29,0.1,0.9542,0.9496
1000,0.29,0.5,0.9542,0.9496
1000,0.29,0.58,0.9542,0.9496
1000,0.29,1,0.9542,0.9496
1000,0.7,0.01,0.9542,0.9496
1000,0.7,0.1,0.9542,0.9496
1000,0.7,0.5,0.9542,0.9496
1000,0.7,0.58,0.9542,0.9496
1000,0.7,1,0.954,0.9494
1000,0.8,0.01,0.9542,0.9496
1000,0.8,0.1,0.9542,0.9496
1000,0.8,0.5,0.9542,0.9496
1000,0.8,0.58,0.9542,0.9496
1000,0.8,1,0.9541,0.9495
,,,,
,0.8,1,0.9542,0.9496
